#isolate	predicted_serotype	attributes	genes_identified	locus_location	region_I_genes	region_II_genes	region_III_genes	IS1016_hits
DRX014156	type_a	full_gene_complement,truncated_genes	bexA,bexB,bexC,bexD,acs1*,acs1*,acs2,acs3,acs4,hcsA,hcsB	gnl|contig00002|DRX014156 len=235063 cov=56.4 corr=0 origname=Contig_19_56.3951_pilon sw=shovill-skesa/1.1.0 date=20201224:87596-101729	4/4	4/4	2/2	0
DRX014157	type_b	full_gene_complement,fragmented_locus	bexA;bexB,bexC,bexD,bcs1,bcs2,bcs3,bcs4,hcsA,hcsB	gnl|contig00033|DRX014157 len=724 cov=67.4 corr=0 origname=Contig_9_67.4276_pilon sw=shovill-skesa/1.1.0 date=20201223:181-723;gnl|contig00021|DRX014157 len=17356 cov=166.1 corr=0 origname=Contig_39_166.05_pilon sw=shovill-skesa/1.1.0 date=20201223:85-15151	4/4	4/4	2/2	2
DRX014158	type_b	missing_genes,truncated_genes	bexA*,bexB,bcs3,bcs4,hcsA,hcsB	gnl|contig00001|DRX014158 len=560113 cov=67.2 corr=0 origname=Contig_17_67.2236_pilon sw=shovill-skesa/1.1.0 date=20201223:282532-292067	2/4 (missing: bexD,bexC)	2/4 (missing: bcs1,bcs2)	2/2	2
DRX014159	type_c	full_gene_complement	hcsB,hcsA,ccs4,ccs3,ccs2,ccs1,bexD,bexC,bexB,bexA	gnl|contig00001|DRX014159 len=318142 cov=77.0 corr=0 origname=Contig_20_77.0118_pilon sw=shovill-skesa/1.1.0 date=20210103:261693-276330	4/4	4/4	2/2	2
DRX014160	type_d	full_gene_complement	bexA,bexB,bexC,bexD,dcs1,dcs2,dcs3,dcs4,dcs5,hcsA,hcsB	gnl|contig00001|DRX014160 len=323332 cov=78.5 corr=0 origname=Contig_7_78.5015_pilon sw=shovill-skesa/1.1.0 date=20201223:282-16044	4/4	5/5	2/2	2
DRX014161	type_f	full_gene_complement	hcsB,hcsA,fcs3,fcs2,fcs1,bexD,bexC,bexB,bexA	gnl|contig00001|DRX014161 len=423347 cov=80.9 corr=0 origname=Contig_18_80.9191_pilon sw=shovill-skesa/1.1.0 date=20201222:41025-53449	4/4	3/3	2/2	0
DRX014253	type_e	full_gene_complement,fragmented_locus	ecs1,bexD,bexC,bexB,bexA;ecs2,ecs3,ecs4,ecs5,ecs6,ecs7,ecs8,hcsA,hcsB	gnl|contig00007|DRX014253 len=93285 cov=82.8 corr=0 origname=Contig_25_82.8245_pilon sw=shovill-skesa/1.1.0 date=20210102:102-5420;gnl|contig00003|DRX014253 len=156455 cov=74.9 corr=0 origname=Contig_10_74.9454_pilon sw=shovill-skesa/1.1.0 date=20210102:3-12602	4/4	8/8	2/2	0
DRX014438	type_a	full_gene_complement,truncated_genes	bexA,bexB,bexC,bexD,acs1*,acs1*,acs2,acs3,acs4,hcsA,hcsB	gnl|contig00002|DRX014438 len=398307 cov=71.3 corr=0 origname=Contig_17_71.2573_pilon sw=shovill-skesa/1.1.0 date=20201223:87619-101752	4/4	4/4	2/2	0
DRX225218	type_a	full_gene_complement	bexA,bexB,bexC,bexD,acs1,acs2,acs3,acs4,hcsA,hcsB	gnl|contig00015|DRX225218 len=15411 cov=55.0 corr=0 origname=Contig_7_54.9753_pilon sw=shovill-skesa/1.1.0 date=20201223:873-13923	4/4	4/4	2/2	1
DRX233551	type_a	full_gene_complement	bexA,bexB,bexC,bexD,acs1,acs2,acs3,acs4,hcsA,hcsB	gnl|contig00019|DRX233551 len=14719 cov=179.8 corr=0 origname=Contig_6_179.806_pilon sw=shovill-skesa/1.1.0 date=20201225:181-13231	4/4	4/4	2/2	1
ERX101202	cap_not_found	-	-	-	-	-	-	-
ERX101203	cap_not_found	-	-	-	-	-	-	-
ERX101204	cap_not_found	-	-	-	-	-	-	-
ERX101205	cap_not_found	-	-	-	-	-	-	-
ERX101206	cap_not_found	-	-	-	-	-	-	-
ERX101207	cap_not_found	-	-	-	-	-	-	-
ERX101208	cap_not_found	-	-	-	-	-	-	-
ERX101209	cap_not_found	-	-	-	-	-	-	-
ERX101210	cap_not_found	-	-	-	-	-	-	-
ERX101211	cap_not_found	-	-	-	-	-	-	-
ERX101212	cap_not_found	-	-	-	-	-	-	-
ERX101214	cap_not_found	-	-	-	-	-	-	-
ERX101215	cap_not_found	-	-	-	-	-	-	-
ERX101216	cap_not_found	-	-	-	-	-	-	-
ERX101217	cap_not_found	-	-	-	-	-	-	-
ERX101218	cap_not_found	-	-	-	-	-	-	-
ERX101219	cap_not_found	-	-	-	-	-	-	-
ERX101220	cap_not_found	-	-	-	-	-	-	-
ERX101221	cap_not_found	-	-	-	-	-	-	-
ERX101222	cap_not_found	-	-	-	-	-	-	-
ERX101223	cap_not_found	-	-	-	-	-	-	-
ERX101224	cap_not_found	-	-	-	-	-	-	-
ERX101225	cap_not_found	-	-	-	-	-	-	-
ERX101226	cap_not_found	-	-	-	-	-	-	-
ERX101227	cap_not_found	-	-	-	-	-	-	-
ERX101228	cap_not_found	-	-	-	-	-	-	-
ERX101229	cap_not_found	-	-	-	-	-	-	-
ERX101230	cap_not_found	-	-	-	-	-	-	-
ERX101231	cap_not_found	-	-	-	-	-	-	-
ERX101232	cap_not_found	-	-	-	-	-	-	-
ERX101233	cap_not_found	-	-	-	-	-	-	-
ERX101234	cap_not_found	-	-	-	-	-	-	-
ERX101235	cap_not_found	-	-	-	-	-	-	-
ERX101238	cap_not_found	-	-	-	-	-	-	-
ERX101239	cap_not_found	-	-	-	-	-	-	-
ERX101240	cap_not_found	-	-	-	-	-	-	-
ERX101241	cap_not_found	-	-	-	-	-	-	-
ERX101242	cap_not_found	-	-	-	-	-	-	-
ERX101243	cap_not_found	-	-	-	-	-	-	-
ERX101244	cap_not_found	-	-	-	-	-	-	-
ERX101245	cap_not_found	-	-	-	-	-	-	-
ERX101246	cap_not_found	-	-	-	-	-	-	-
ERX101247	type_f	full_gene_complement	bexA,bexB,bexC,bexD,fcs1,fcs2,fcs3,hcsA,hcsB	gnl|contig00013|ERX101247 len=46171 cov=68.8 corr=0 origname=Contig_7_68.7976_pilon sw=shovill-skesa/1.1.0 date=20201228:983-13408	4/4	3/3	2/2	2
ERX101248	cap_not_found	-	-	-	-	-	-	-
ERX101249	cap_not_found	-	-	-	-	-	-	-
ERX101250	cap_not_found	-	-	-	-	-	-	-
ERX101252	cap_not_found	-	-	-	-	-	-	-
ERX101253	cap_not_found	-	-	-	-	-	-	-
ERX101254	cap_not_found	-	-	-	-	-	-	-
ERX101255	cap_not_found	-	-	-	-	-	-	-
ERX101256	cap_not_found	-	-	-	-	-	-	-
ERX101257	cap_not_found	-	-	-	-	-	-	-
ERX101259	cap_not_found	-	-	-	-	-	-	-
ERX101260	cap_not_found	-	-	-	-	-	-	-
ERX101266	cap_not_found	-	-	-	-	-	-	-
ERX101267	cap_not_found	-	-	-	-	-	-	-
ERX101268	cap_not_found	-	-	-	-	-	-	-
ERX101270	cap_not_found	-	-	-	-	-	-	-
ERX101271	cap_not_found	-	-	-	-	-	-	-
ERX101272	cap_not_found	-	-	-	-	-	-	-
ERX101274	cap_not_found	-	-	-	-	-	-	-
