task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem
1	72/31164f	527228	gather_fastqs	GA52847	gather_fastqs (GA52847)	COMPLETED	0	-	/opt/bactopia/singularity/gather_fastqs-1.5.x.simg	4	4h	-	1 GB	1	2020-12-21 17:00:36.599	2020-12-21 17:00:51.575	19.2s	32ms	general	88.9%	0.0%	0	0
3	7e/574bef	527229	gather_fastqs	GA54125	gather_fastqs (GA54125)	COMPLETED	0	-	/opt/bactopia/singularity/gather_fastqs-1.5.x.simg	4	4h	-	1 GB	1	2020-12-21 17:00:36.603	2020-12-21 17:00:51.809	19.4s	30ms	general	88.9%	0.0%	0	0
2	af/e3aad8	527230	gather_fastqs	GA52964	gather_fastqs (GA52964)	COMPLETED	0	-	/opt/bactopia/singularity/gather_fastqs-1.5.x.simg	4	4h	-	1 GB	1	2020-12-21 17:00:36.605	2020-12-21 17:00:51.839	19.4s	35ms	general	100.7%	0.0%	0	0
4	f3/910f41	527227	update_antimicrobial_resistance	-	update_antimicrobial_resistance (1)	COMPLETED	0	-	/opt/bactopia/singularity/antimicrobial_resistance-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:00:36.577	2020-12-21 17:01:01.574	29.3s	20.8s	general	66.1%	0.0%	12.3 MB	89.9 MB
5	1a/bbf6ec	527231	gather_fastqs	GA54569	gather_fastqs (GA54569)	COMPLETED	0	-	/opt/bactopia/singularity/gather_fastqs-1.5.x.simg	4	4h	-	1 GB	1	2020-12-21 17:00:56.574	2020-12-21 17:01:06.574	15s	32ms	general	88.9%	0.0%	0	0
6	51/545162	527232	gather_fastqs	GA54617	gather_fastqs (GA54617)	COMPLETED	0	-	/opt/bactopia/singularity/gather_fastqs-1.5.x.simg	4	4h	-	1 GB	1	2020-12-21 17:00:56.577	2020-12-21 17:01:06.591	14.8s	31ms	general	111.6%	0.0%	0	0
7	74/fdc4e8	527233	gather_fastqs	GA54827	gather_fastqs (GA54827)	COMPLETED	0	-	/opt/bactopia/singularity/gather_fastqs-1.5.x.simg	4	4h	-	1 GB	1	2020-12-21 17:00:56.579	2020-12-21 17:01:11.573	19.7s	455ms	general	12.3%	0.0%	3.1 MB	5.4 MB
8	9f/183e8a	527237	gather_fastqs	GA56108	gather_fastqs (GA56108)	COMPLETED	0	-	/opt/bactopia/singularity/gather_fastqs-1.5.x.simg	4	4h	-	1 GB	1	2020-12-21 17:01:11.597	2020-12-21 17:01:26.576	20s	53ms	general	70.9%	0.0%	0	0
9	96/234a3c	527238	gather_fastqs	GA56214	gather_fastqs (GA56214)	COMPLETED	0	-	/opt/bactopia/singularity/gather_fastqs-1.5.x.simg	4	4h	-	1 GB	1	2020-12-21 17:01:11.600	2020-12-21 17:01:26.613	20s	42ms	general	87.8%	0.0%	0	0
10	4e/4a2863	527241	gather_fastqs	GA56273	gather_fastqs (GA56273)	COMPLETED	0	-	/opt/bactopia/singularity/gather_fastqs-1.5.x.simg	4	4h	-	1 GB	1	2020-12-21 17:01:16.575	2020-12-21 17:01:26.630	15s	40ms	general	107.0%	0.0%	0	0
183	95/312d16	527235	fastq_status	-	fastq_status (1)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:00:56.584	2020-12-21 17:01:31.576	39.4s	19.3s	general	227.9%	0.5%	597.5 MB	35.7 GB
184	fe/1b679c	527234	fastq_status	-	fastq_status (2)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:00:56.582	2020-12-21 17:01:36.576	44.4s	25.5s	general	234.5%	0.5%	607.3 MB	35.6 GB
188	3d/125959	527242	fastq_status	-	fastq_status (6)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:01:16.579	2020-12-21 17:02:01.578	50s	17s	general	209.3%	0.5%	590.5 MB	35.6 GB
11	27/0fcb9a	527243	gather_fastqs	GA56558	gather_fastqs (GA56558)	COMPLETED	0	-	/opt/bactopia/singularity/gather_fastqs-1.5.x.simg	4	4h	-	1 GB	1	2020-12-21 17:01:31.585	2020-12-21 17:02:01.588	35s	529ms	general	7.3%	0.0%	3.1 MB	5.4 MB
12	02/a82fec	527244	gather_fastqs	GA56638	gather_fastqs (GA56638)	COMPLETED	0	-	/opt/bactopia/singularity/gather_fastqs-1.5.x.simg	4	4h	-	1 GB	1	2020-12-21 17:01:32.064	2020-12-21 17:02:06.577	39.9s	858ms	general	5.6%	0.0%	3 MB	5.4 MB
13	59/a7f2be	527245	gather_fastqs	GA56646	gather_fastqs (GA56646)	COMPLETED	0	-	/opt/bactopia/singularity/gather_fastqs-1.5.x.simg	4	4h	-	1 GB	1	2020-12-21 17:01:32.098	2020-12-21 17:02:11.579	44.9s	852ms	general	5.7%	0.0%	3.1 MB	5.4 MB
186	69/154783	527239	fastq_status	-	fastq_status (4)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:01:11.602	2020-12-21 17:02:16.578	1m 10s	25.9s	general	231.4%	0.5%	619.2 MB	35.6 GB
187	a0/c367f3	527240	fastq_status	-	fastq_status (5)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:01:11.606	2020-12-21 17:02:16.587	1m 10s	26.2s	general	224.8%	0.5%	608.7 MB	35.7 GB
185	2e/7acc13	527236	fastq_status	-	fastq_status (3)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:00:56.587	2020-12-21 17:02:21.578	1m 29s	36s	general	239.6%	0.5%	625 MB	35.6 GB
191	26/280324	527248	fastq_status	-	fastq_status (9)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:01:32.104	2020-12-21 17:02:21.586	54.9s	13.9s	general	187.5%	0.5%	588.7 MB	35.5 GB
189	59/6b3e1c	527246	fastq_status	-	fastq_status (7)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:01:32.100	2020-12-21 17:02:26.587	59.9s	20.6s	general	214.4%	0.5%	599.9 MB	35.4 GB
190	66/13d949	527247	fastq_status	-	fastq_status (8)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:01:32.102	2020-12-21 17:02:26.597	59.9s	20.8s	general	235.9%	0.5%	607.9 MB	35.6 GB
192	c2/02e66d	527249	estimate_genome_size	GA52847	estimate_genome_size (GA52847)	COMPLETED	0	-	/opt/bactopia/singularity/minmers-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:01:36.586	2020-12-21 17:02:26.606	54s	34ms	general	80.5%	0.0%	0	0
193	57/bb85e2	527250	estimate_genome_size	GA54125	estimate_genome_size (GA54125)	COMPLETED	0	-	/opt/bactopia/singularity/minmers-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:01:41.589	2020-12-21 17:02:26.616	49s	902ms	general	5.5%	0.0%	3.1 MB	5.4 MB
14	b4/a6819e	527251	gather_fastqs	GA56663	gather_fastqs (GA56663)	COMPLETED	0	-	/opt/bactopia/singularity/gather_fastqs-1.5.x.simg	4	4h	-	1 GB	1	2020-12-21 17:02:06.590	2020-12-21 17:02:46.578	45s	867ms	general	5.6%	0.0%	3 MB	5.4 MB
194	c9/92d1cb	527252	estimate_genome_size	GA54827	estimate_genome_size (GA54827)	COMPLETED	0	-	/opt/bactopia/singularity/minmers-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:02:06.592	2020-12-21 17:02:46.603	45s	806ms	general	4.8%	0.0%	3.1 MB	5.4 MB
200	42/035c41	527260	estimate_genome_size	GA52964	estimate_genome_size (GA52964)	COMPLETED	0	-	/opt/bactopia/singularity/minmers-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:02:26.625	2020-12-21 17:02:51.583	29s	34ms	general	83.2%	0.0%	0	0
201	de/592053	527261	estimate_genome_size	GA56273	estimate_genome_size (GA56273)	COMPLETED	0	-	/opt/bactopia/singularity/minmers-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:02:26.628	2020-12-21 17:02:51.593	29s	37ms	general	88.3%	0.0%	0	0
195	98/e11c5d	527253	fastq_status	-	fastq_status (10)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:02:06.594	2020-12-21 17:02:56.580	54.9s	12.6s	general	207.8%	0.5%	589.5 MB	35.8 GB
15	c6/233c6e	527254	gather_fastqs	GA56793	gather_fastqs (GA56793)	COMPLETED	0	-	/opt/bactopia/singularity/gather_fastqs-1.5.x.simg	4	4h	-	1 GB	1	2020-12-21 17:02:11.599	2020-12-21 17:03:06.580	60s	1s	general	3.8%	0.0%	3.1 MB	5.4 MB
196	d6/5ee191	527255	fastq_status	-	fastq_status (11)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:02:11.602	2020-12-21 17:03:16.582	1m 10s	17.8s	general	215.0%	0.5%	595.2 MB	35.5 GB
16	eb/3c8f88	527256	gather_fastqs	GA56932	gather_fastqs (GA56932)	COMPLETED	0	-	/opt/bactopia/singularity/gather_fastqs-1.5.x.simg	4	4h	-	1 GB	1	2020-12-21 17:02:16.595	2020-12-21 17:03:16.592	1m 5s	640ms	general	9.0%	0.0%	3 MB	5.4 MB
197	59/76c4d1	527257	fastq_status	-	fastq_status (12)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:02:16.597	2020-12-21 17:03:16.601	1m 5s	21.6s	general	238.1%	0.5%	627.6 MB	35.5 GB
198	5d/5665f9	527258	estimate_genome_size	GA54569	estimate_genome_size (GA54569)	COMPLETED	0	-	/opt/bactopia/singularity/minmers-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:02:21.595	2020-12-21 17:03:16.607	59s	308ms	general	15.2%	0.0%	3.1 MB	5.4 MB
199	c7/9a4ae0	527259	estimate_genome_size	GA54617	estimate_genome_size (GA54617)	COMPLETED	0	-	/opt/bactopia/singularity/minmers-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:02:21.597	2020-12-21 17:03:16.633	59s	449ms	general	12.7%	0.0%	3.2 MB	5.4 MB
203	4e/08325f	527263	estimate_genome_size	GA56214	estimate_genome_size (GA56214)	COMPLETED	0	-	/opt/bactopia/singularity/minmers-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:02:31.581	2020-12-21 17:03:16.642	50s	2.3s	general	1.7%	0.0%	3 MB	5.4 MB
202	de/27e5d3	527262	estimate_genome_size	GA56108	estimate_genome_size (GA56108)	COMPLETED	0	-	/opt/bactopia/singularity/minmers-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:02:31.578	2020-12-21 17:03:21.582	55s	2.3s	general	2.1%	0.0%	3.2 MB	5.4 MB
208	97/862d01	527269	fastq_status	-	fastq_status (13)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:02:51.610	2020-12-21 17:03:26.582	39.9s	13.1s	general	184.7%	0.5%	591.1 MB	35.4 GB
17	7d/298511	527268	gather_fastqs	GA56981	gather_fastqs (GA56981)	COMPLETED	0	-	/opt/bactopia/singularity/gather_fastqs-1.5.x.simg	4	4h	-	1 GB	1	2020-12-21 17:02:51.608	2020-12-21 17:03:31.583	45s	1.1s	general	4.6%	0.0%	3 MB	5.4 MB
215	59/d7410c	527276	estimate_genome_size	GA56558	estimate_genome_size (GA56558)	COMPLETED	0	-	/opt/bactopia/singularity/minmers-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:03:06.594	2020-12-21 17:03:31.598	33.9s	894ms	general	5.4%	0.0%	3.1 MB	5.4 MB
213	0b/0d255b	527274	qc_original_summary	GA56273	qc_original_summary (GA56273)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	2	4h	-	1 GB	1	2020-12-21 17:02:56.592	2020-12-21 17:03:41.596	48.9s	38.7s	general	171.7%	0.5%	591.8 MB	3.7 GB
206	28/ba7469	527264	qc_original_summary	GA54125	qc_original_summary (GA54125)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	2	4h	-	1 GB	1	2020-12-21 17:02:36.579	2020-12-21 17:03:46.584	1m 19s	54.3s	general	180.3%	0.5%	612.4 MB	3.5 GB
205	21/142323	527265	qc_original_summary	GA52847	qc_original_summary (GA52847)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	2	4h	-	1 GB	1	2020-12-21 17:02:36.582	2020-12-21 17:03:46.590	1m 19s	43.7s	general	173.8%	0.5%	602 MB	3.6 GB
209	f2/c68c94	527270	qc_original_summary	GA54827	qc_original_summary (GA54827)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	2	4h	-	1 GB	1	2020-12-21 17:02:51.612	2020-12-21 17:03:46.595	59.9s	48.5s	general	182.3%	0.6%	644.5 MB	3.7 GB
18	14/2fbb81	527277	gather_fastqs	GA58008	gather_fastqs (GA58008)	COMPLETED	0	-	/opt/bactopia/singularity/gather_fastqs-1.5.x.simg	4	4h	-	1 GB	1	2020-12-21 17:03:16.655	2020-12-21 17:03:46.601	40s	1s	general	5.7%	0.0%	3 MB	5.4 MB
19	5c/701f64	527279	gather_fastqs	GA58200	gather_fastqs (GA58200)	COMPLETED	0	-	/opt/bactopia/singularity/gather_fastqs-1.5.x.simg	4	4h	-	1 GB	1	2020-12-21 17:03:21.590	2020-12-21 17:03:46.611	30s	349ms	general	16.2%	0.0%	3.1 MB	5.4 MB
217	02/8ec186	527280	estimate_genome_size	GA56638	estimate_genome_size (GA56638)	COMPLETED	0	-	/opt/bactopia/singularity/minmers-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:03:21.635	2020-12-21 17:03:46.621	30s	37ms	general	74.1%	0.0%	0	0
219	b8/974bc2	527282	estimate_genome_size	GA56646	estimate_genome_size (GA56646)	COMPLETED	0	-	/opt/bactopia/singularity/minmers-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:03:21.639	2020-12-21 17:03:46.630	29.9s	43ms	general	83.2%	0.0%	0	0
216	13/feea3d	527278	fastq_status	-	fastq_status (14)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:03:16.657	2020-12-21 17:04:31.585	1m 25s	1m 7s	general	109.0%	0.5%	609.2 MB	33 GB
218	2b/0a95d9	527281	fastq_status	-	fastq_status (15)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:03:21.637	2020-12-21 17:04:36.585	1m 20s	1m 5s	general	107.2%	0.5%	610 MB	32.9 GB
